"id","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013"
"10001",43,15,10,32592,32876,33146,1.3,0.46,0.3
"10002",0,1,0,0,4217,0,0,0.24,0
"10004",106,30,32,34819,35090,35384,3,0.85,0.9
"10005",3471,2593,2238,610384,619284,627657,5.7,4.2,3.6
"10007",0,782,1952,0,344986,348674,0,2.3,5.6
"10008",78,31,23,35320,35652,35976,2.2,0.87,0.64
"10009",1,2,13,10366,10380,10408,0.096,0.19,1.2
"1001",2717,2838,2154,823056,835348,847308,3.3,3.4,2.5
"10012",3342,1298,466,147074,148853,150565,23,8.7,3.1
"10013",0,14,12,0,26398,26660,0,0.53,0.45
"10014",42,37,29,34538,34828,35150,1.2,1.1,0.83
"10015",8,6,4,12718,12749,12791,0.63,0.47,0.31
"10016",39,15,27,19115,19264,19372,2,0.78,1.4
"10018",34,61,25,11739,11858,11952,2.9,5.1,2.1
"10019",6,6,0,5456,5540,0,1.1,1.1,0
"1002",27,12,25,46970,47634,48294,0.57,0.25,0.52
"10020",16,7,8,12210,12240,12269,1.3,0.57,0.65
"10021",8,7,0,10828,10900,0,0.74,0.64,0
"10022",41,25,16,25789,26020,26232,1.6,0.96,0.61
"10023",67,58,48,50576,50898,51278,1.3,1.1,0.94
"10024",18,9,4,13416,13582,13784,1.3,0.66,0.29
"10026",23,10,40,20202,20288,20408,1.1,0.49,2
"10027",0,0,1,0,0,6116,0,0,0.16
"10028",25,17,21,12421,12571,12730,2,1.4,1.6
"1003",17,25,34,55510,56096,56702,0.31,0.45,0.6
"10032",187,82,64,46842,47374,47894,4,1.7,1.3
"10033",1,4,1,6885,6878,6892,0.15,0.58,0.15
"10034",39,25,27,26980,27014,27172,1.4,0.93,0.99
"10035",27,24,12,10889,10800,10732,2.5,2.2,1.1
"10036",2,8,11,22942,23534,23714,0.087,0.34,0.46
"10037",7,10,2,8864,8960,9042,0.79,1.1,0.22
"10038",168,66,28,21749,21874,22018,7.7,3,1.3
"10039",43,25,22,27024,27236,27492,1.6,0.92,0.8
"1004",24,5,9,15462,15659,15861,1.6,0.32,0.57
"1005",122,89,109,104196,106428,108512,1.2,0.84,1
"1006",33,26,42,42877,43340,43840,0.77,0.6,0.96
"1007",43,28,23,50411,50990,51604,0.85,0.55,0.45
"1008",1,1,2,8710,8830,8951,0.11,0.11,0.22
"1009",7,9,6,20348,20658,20960,0.34,0.44,0.29
"1010",12,4,12,19373,19618,19868,0.62,0.2,0.6
"1011",41,26,34,37596,38492,39322,1.1,0.68,0.86
"11001",31,62,82,86264,86784,87318,0.36,0.71,0.94
"11002",109,133,125,111002,111422,111856,0.98,1.2,1.1
"11003",137,215,253,165682,167601,169414,0.83,1.3,1.5
"11004",53,65,110,66096,66646,67196,0.8,0.98,1.6
"11005",62,79,166,88196,89254,90244,0.7,0.89,1.8
