"id","state_code","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013","h2011","h2012","h2013","rh2011","rh2012","rh2013"
1001,1,2717,2838,2154,823056,835348,850000,3.3,3.4,2.5,58,33,19,0.07,0.04,0.022
1002,1,27,12,25,46970,47634,48000,0.57,0.25,0.52,1,2,5,0.021,0.042,0.1
1003,1,17,25,34,55510,56096,57000,0.31,0.45,0.6,2,0,0,0.036,0,0
1004,1,24,5,9,15462,15659,16000,1.6,0.32,0.57,0,1,0,0,0.064,0
1005,1,122,89,109,104196,106428,110000,1.2,0.84,1,4,3,7,0.038,0.028,0.065
1006,1,33,26,42,42877,43340,44000,0.77,0.6,0.96,5,1,1,0.12,0.023,0.023
1007,1,43,28,23,50411,50990,52000,0.85,0.55,0.45,0,1,2,0,0.02,0.039
1008,1,1,1,2,8710,8830,9000,0.11,0.11,0.22,0,0,0,0,0,0
1009,1,7,9,6,20348,20658,21000,0.34,0.44,0.29,1,1,0,0.049,0.048,0
1010,1,12,4,12,19373,19618,20000,0.62,0.2,0.6,0,0,1,0,0,0.05
1011,1,41,26,34,37596,38492,39000,1.1,0.68,0.86,0,2,4,0,0.052,0.1
2001,2,2231,2303,1987,490568,499254,510000,4.5,4.6,3.9,47,54,48,0.096,0.11,0.095
2002,2,13446,11790,10942,977608,991453,1e+06,14,12,11,139,155,150,0.14,0.16,0.15
2003,2,810,758,752,105662,107247,110000,7.7,7.1,6.9,29,19,34,0.27,0.18,0.31
2004,2,17530,14218,13313,1631186,1657312,1700000,11,8.6,7.9,418,332,492,0.26,0.2,0.29
2005,2,750,681,787,96985,99585,1e+05,7.7,6.8,7.7,40,30,50,0.41,0.3,0.49
3001,3,82,66,98,74040,75446,77000,1.1,0.87,1.3,0,3,2,0,0.04,0.026
3002,3,42,57,54,62004,63286,65000,0.68,0.9,0.83,0,5,9,0,0.079,0.14
3003,3,1000,824,1236,265906,272481,280000,3.8,3,4.4,0,13,22,0,0.048,0.079
3008,3,660,813,806,263678,276361,290000,2.5,2.9,2.8,0,10,20,0,0.036,0.069
3009,3,22,24,20,18417,19228,20000,1.2,1.2,1,0,3,1,0,0.16,0.051
4001,4,4,3,3,54980,55736,57000,0.073,0.054,0.053,2,1,1,0.036,0.018,0.018
4002,4,88,68,144,271000,275550,280000,0.32,0.25,0.51,10,11,11,0.037,0.04,0.039
4003,4,189,106,202,232037,236340,240000,0.81,0.45,0.84,26,21,25,0.11,0.089,0.1
4004,4,18,15,20,86616,87946,89000,0.21,0.17,0.22,8,9,6,0.092,0.1,0.067
4005,4,2,2,6,29335,29675,30000,0.068,0.067,0.2,1,1,1,0.034,0.034,0.033
4006,4,0,4,4,39228,39744,40000,0,0.1,0.099,0,3,0,0,0.075,0
4007,4,2,0,1,8532,8572,8600,0.23,0,0.12,0,0,0,0,0,0
4008,4,2,2,7,10132,10268,10000,0.2,0.19,0.67,0,1,1,0,0.097,0.096
4009,4,5,17,26,56430,57267,58000,0.089,0.3,0.45,5,8,10,0.089,0.14,0.17
4010,4,4,4,4,28076,28546,29000,0.14,0.14,0.14,3,2,2,0.11,0.07,0.069
4011,4,7,16,28,43009,43691,44000,0.16,0.37,0.63,4,11,10,0.093,0.25,0.23
5001,5,0,0,2,1101,0,1100,0,0,1.8,0,0,2,0,0,1.8
5002,5,94,124,196,140348,141886,140000,0.67,0.87,1.4,8,17,13,0.057,0.12,0.091
5003,5,17,23,22,23508,23848,24000,0.72,0.96,0.91,2,7,8,0.085,0.29,0.33
5004,5,41,32,29,23413,23765,24000,1.8,1.3,1.2,2,1,7,0.085,0.042,0.29
5005,5,0,0,0,1842,0,1900,0,0,0,0,0,0,0,0,0
5006,5,17,61,31,26650,26934,27000,0.64,2.3,1.1,3,10,4,0.11,0.37,0.15
5007,5,4,8,7,13314,13412,14000,0.3,0.6,0.52,1,3,0,0.075,0.22,0
5008,5,0,0,1,2959,0,3000,0,0,0.33,0,0,1,0,0,0.33
5009,5,61,65,70,57179,57768,58000,1.1,1.1,1.2,9,11,15,0.16,0.19,0.26
5010,5,53,48,130,77164,77910,79000,0.69,0.62,1.7,9,2,13,0.12,0.026,0.17
5011,5,6,3,8,11857,11898,12000,0.51,0.25,0.67,3,0,1,0.25,0,0.084
5012,5,0,0,3,2144,0,2200,0,0,1.4,0,0,3,0,0,1.4
5013,5,0,0,0,1930,0,2000,0,0,0,0,0,0,0,0,0
5014,5,0,0,3,10067,0,10000,0,0,0.3,0,0,3,0,0,0.3
5015,5,0,0,0,1666,0,1700,0,0,0,0,0,0,0,0,0
5016,5,0,0,1,1876,0,1900,0,0,0.53,0,0,1,0,0,0.53
5017,5,141,201,290,109754,110774,110000,1.3,1.8,2.6,18,34,55,0.16,0.31,0.49
5018,5,254,713,715,222427,224844,230000,1.1,3.2,3.1,20,25,45,0.09,0.11,0.2
5019,5,0,20,1,8487,8540,8700,0,2.3,0.11,0,4,0,0,0.47,0
5020,5,21,29,82,68420,68988,70000,0.31,0.42,1.2,4,6,8,0.058,0.087,0.11
5021,5,0,0,0,6504,0,6600,0,0,0,0,0,0,0,0,0
5022,5,0,0,10,28558,0,29000,0,0,0.34,0,0,4,0,0,0.14
5023,5,1,3,0,11258,11352,11000,0.089,0.26,0,0,1,0,0,0.088,0
5024,5,24,13,38,46090,46287,47000,0.52,0.28,0.82,1,4,3,0.022,0.086,0.064
5025,5,211,217,234,156176,157490,160000,1.4,1.4,1.5,12,33,32,0.077,0.21,0.2
5026,5,0,0,4,3528,0,3600,0,0,1.1,0,0,3,0,0,0.84
5027,5,130,166,161,80714,83164,85000,1.6,2,1.9,9,7,18,0.11,0.084,0.21
5028,5,65,75,87,63348,64388,65000,1,1.2,1.3,6,10,14,0.095,0.16,0.21
5029,5,0,0,1,2388,0,2500,0,0,0.41,0,0,0,0,0,0
5030,5,1820,2144,1962,750918,761894,770000,2.4,2.8,2.5,87,101,76,0.12,0.13,0.098
5031,5,15,16,24,23006,23356,24000,0.65,0.69,1,2,5,2,0.087,0.21,0.084
5032,5,24,24,63,42455,42704,43000,0.57,0.56,1.5,4,2,3,0.094,0.047,0.07
5033,5,79,115,187,105544,106637,110000,0.75,1.1,1.7,8,20,62,0.076,0.19,0.58
5034,5,0,1,3,6686,6860,7000,0,0.15,0.43,0,1,1,0,0.15,0.14
5035,5,4592,4836,3798,661627,670738,680000,6.9,7.2,5.6,455,462,238,0.69,0.69,0.35
5036,5,0,0,41,21852,0,22000,0,0,1.8,0,0,7,0,0,0.31
5037,5,0,0,0,6369,0,6400,0,0,0,0,0,0,0,0,0
5038,5,3,16,11,12901,12952,13000,0.23,1.2,0.84,0,3,3,0,0.23,0.23
6001,6,85,80,59,29877,30402,31000,2.8,2.6,1.9,24,34,23,0.8,1.1,0.74
6002,6,1086,1417,942,152416,154910,160000,7.1,9.1,6,49,58,39,0.32,0.37,0.25
6003,6,15,23,15,21434,21659,22000,0.7,1.1,0.68,5,4,0,0.23,0.18,0
6004,6,23,32,24,20083,20408,21000,1.1,1.6,1.2,2,7,4,0.1,0.34,0.19
6005,6,37,45,29,27728,27980,28000,1.3,1.6,1,1,2,6,0.036,0.071,0.21
6006,6,10,7,3,5496,5576,5700,1.8,1.3,0.53,3,4,2,0.55,0.72,0.35
