"NOM_MUN","id"
"Tlalpan","9012"
"Xochimilco","9013"
"La Magdalena Contreras","9008"
"Azcapotzalco","9002"
"Benito Ju,"9014"
"Cuauht,"9015"
","9010"
"Gustavo A. Madero","9005"
"Cuajimalpa de Morelos","9004"
"Miguel Hidalgo","9016"
"Iztacalco","9006"
"Coyoac,"9003"
"Venustiano Carranza","9017"
"Tl,"9011"
"Iztapalapa","9007"
"Milpa Alta","9009"
"Apaxtla","12006"
"Cocula","12017"
"Cuetzala del Progreso","12026"
"Chilapa de ,"12028"
"Chilpancingo de los Bravo","12029"
"General Canuto A. Neri","12031"
"General Heliodoro Castillo","12032"
"Huitzuco de los Figueroa","12034"
"Juan R. Escudero","12039"
"Leonardo Bravo","12040"
"M,"12042"
"Mochitl,"12044"
"Quechultenango","12051"
"San Marcos","12053"
"Tecoanapa","12056"
"Teloloapan","12058"
"Tepecoacuilco de Trujano","12059"
"Tixtla de Guerrero","12061"
"Zitlala","12074"
"Eduardo Neri","12075"
"Iguala de la Independencia","12035"
"Coyuca de Ben,"12021"
"Alpoyeca","12005"
"Atenango del R,"12008"
"Atlamajalcingo del Monte","12009"
"Atlixtac","12010"
"Ayutla de los Libres","12012"
"Azoy,"12013"
"Copala","12018"
"Copalillo","12019"
"Copanatoyac","12020"
"Cual,"12024"
"Cuautepec","12025"
"Florencio Villarreal","12030"
"Huamuxtitl,"12033"
"Igualapa","12036"
"Malinaltepec","12041"
"Olinal,"12045"
"Ometepec","12046"
"San Luis Acatl,"12052"
"Tlacoapa","12063"
"Tlapa de Comonfort","12066"
"Xalpatl,"12069"
"Xochihuehuetl,"12070"
"Xochistlahuaca","12071"
"Zapotitl,"12072"
"Acatepec","12076"
"Marquelia","12077"
"Jos,"12079"
"Juchit,"12080"
"Iliatenco","12081"
"Cuajinicuilapa","12023"
"Tlacoachistlahuaca","12062"
"Tlalixtaquilla de Maldonado","12065"
"Alcozauca de Guerrero","12004"
"Metlat,"12043"
"Cochoapa el Grande","12078"
"Ahuacuotzingo","12002"
"Petatl,"12048"
"Ajuchitl,"12003"
"Arcelia","12007"
"Atoyac de ,"12011"
"Benito Ju,"12014"
"Coahuayutla de Jos,"12016"
"Cutzamala de Pinz,"12027"
"San Miguel Totolapan","12054"
"T,"12057"
"Tlalchapa","12064"
"Tlapehuala","12067"
"Coyuca de Catal,"12022"
"Zir,"12073"
"La Uni,"12068"
"Ixcateopan de Cuauht,"12037"
"Pedro Ascencio Alquisiras","12047"
"Pilcaya","12049"
"Tetipac","12060"
"Taxco de Alarc,"12055"
"Buenavista de Cu,"12015"
"Pungarabato","12050"
